,Company,Year,Country,Unclassified,Classified,Regex
0,Amazon,2014,USA,0,1,1
1,Amazon,2023,USA,11,19,36
2,Amazon,2015,USA,0,1,2
3,Amazon,2017,USA,1,4,10
4,Amazon,2019,USA,0,1,2
5,Amazon,2018,USA,3,3,11
6,Amazon,2016,USA,2,3,5
7,APPLE,2022,USA,0,0,5
8,APPLE,2023,USA,0,1,7
9,APPLE,2017,USA,0,0,1
10,APPLE,2019,USA,0,0,5
11,APPLE,2021,USA,0,0,4
12,APPLE,2020,USA,0,0,4
13,APPLE,2018,USA,0,0,5
14,Exxon Mobil,2023,USA,0,0,2
15,Exxon Mobil,2019,USA,0,2,2
16,Exxon Mobil,2021,USA,0,0,2
17,Exxon Mobil,2020,USA,0,0,1
18,Meta Platforms (Facebook),2022,USA,9,15,55
19,Meta Platforms (Facebook),2023,USA,22,27,78
20,Meta Platforms (Facebook),2015,USA,1,1,2
21,Meta Platforms (Facebook),2017,USA,0,2,2
22,Meta Platforms (Facebook),2019,USA,4,6,15
23,Meta Platforms (Facebook),2021,USA,2,8,33
24,Meta Platforms (Facebook),2020,USA,1,10,16
25,Meta Platforms (Facebook),2018,USA,1,2,11
26,Meta Platforms (Facebook),2016,USA,0,2,2
27,Berkshire Hathaway,2014,USA,0,0,2
28,Berkshire Hathaway,2022,USA,0,0,4
29,Berkshire Hathaway,2023,USA,1,0,4
30,Berkshire Hathaway,2015,USA,0,0,1
31,Berkshire Hathaway,2017,USA,0,0,4
32,Berkshire Hathaway,2019,USA,0,0,3
33,Berkshire Hathaway,2021,USA,0,0,4
34,Berkshire Hathaway,2020,USA,0,0,3
35,Berkshire Hathaway,2018,USA,0,0,3
36,Berkshire Hathaway,2016,USA,0,0,2
37,NVIDIA,2014,USA,3,13,16
38,NVIDIA,2022,USA,38,87,134
39,NVIDIA,2023,USA,50,139,200
40,NVIDIA,2015,USA,5,27,34
41,NVIDIA,2017,USA,11,56,71
42,NVIDIA,2019,USA,15,70,95
43,NVIDIA,2021,USA,21,75,105
44,NVIDIA,2020,USA,20,81,109
45,NVIDIA,2018,USA,12,69,89
46,NVIDIA,2016,USA,12,44,56
47,Walmart,2022,USA,0,0,9
48,Walmart,2023,USA,0,0,9
49,Walmart,2019,USA,0,2,7
50,Walmart,2021,USA,2,0,29
51,Walmart,2020,USA,0,0,5
52,Walmart,2018,USA,0,0,6
53,Johnson&Johnson,2022,USA,3,2,7
54,Johnson&Johnson,2023,USA,1,2,8
55,Johnson&Johnson,2015,USA,0,2,2
56,Johnson&Johnson,2017,USA,0,0,2
57,Johnson&Johnson,2019,USA,1,3,6
58,Johnson&Johnson,2021,USA,2,5,10
59,Johnson&Johnson,2020,USA,1,2,4
60,Johnson&Johnson,2018,USA,0,9,11
61,Procter&Gamble,2022,USA,0,1,7
62,Procter&Gamble,2023,USA,1,0,7
63,Procter&Gamble,2015,USA,0,0,4
