firms,counts
annual_results/India/State Bank of India/2022/semantic.json,4
annual_results/India/State Bank of India/2023/semantic.json,5
annual_results/India/State Bank of India/2019/semantic.json,3
annual_results/India/State Bank of India/2021/semantic.json,2
annual_results/India/State Bank of India/2020/semantic.json,2
annual_results/India/State Bank of India/2018/semantic.json,1
annual_results/India/ICICI Bank/2022/semantic.json,4
annual_results/India/ICICI Bank/2023/semantic.json,5
annual_results/India/ICICI Bank/2017/semantic.json,4
annual_results/India/ICICI Bank/2019/semantic.json,3
annual_results/India/ICICI Bank/2021/semantic.json,4
annual_results/India/ICICI Bank/2020/semantic.json,4
annual_results/India/ICICI Bank/2018/semantic.json,2
annual_results/India/ICICI Bank/2016/semantic.json,1
annual_results/India/Reliance Industries/2022/semantic.json,8
annual_results/India/Reliance Industries/2023/semantic.json,6
annual_results/India/Reliance Industries/2017/semantic.json,4
annual_results/India/Reliance Industries/2019/semantic.json,19
annual_results/India/Reliance Industries/2021/semantic.json,11
annual_results/India/Reliance Industries/2020/semantic.json,18
annual_results/India/Reliance Industries/2018/semantic.json,15
annual_results/India/Bajaj Auto/2015/semantic.json,0
annual_results/India/Infosys/2014/semantic.json,3
annual_results/India/Infosys/2022/semantic.json,6
annual_results/India/Infosys/2023/semantic.json,8
annual_results/India/Infosys/2015/semantic.json,6
annual_results/India/Infosys/2017/semantic.json,12
annual_results/India/Infosys/2019/semantic.json,7
annual_results/India/Infosys/2021/semantic.json,7
annual_results/India/Infosys/2020/semantic.json,7
annual_results/India/Infosys/2018/semantic.json,12
annual_results/India/Infosys/2016/semantic.json,6
annual_results/India/Mahindra & Mahindra/2022/semantic.json,5
annual_results/India/Mahindra & Mahindra/2023/semantic.json,8
annual_results/India/Mahindra & Mahindra/2017/semantic.json,0
annual_results/India/Mahindra & Mahindra/2021/semantic.json,1
annual_results/India/Mahindra & Mahindra/2020/semantic.json,2
annual_results/India/Mahindra & Mahindra/2018/semantic.json,3
annual_results/India/Mahindra & Mahindra/2016/semantic.json,1
annual_results/India/Life Insurance Corporation of India/2022/semantic.json,4
annual_results/India/Life Insurance Corporation of India/2023/semantic.json,0
annual_results/India/Life Insurance Corporation of India/2021/semantic.json,1
annual_results/India/Life Insurance Corporation of India/2020/semantic.json,1
annual_results/India/Hindustan Unilever/2022/semantic.json,2
annual_results/India/Hindustan Unilever/2023/semantic.json,9
annual_results/India/Hindustan Unilever/2017/semantic.json,1
annual_results/India/Hindustan Unilever/2019/semantic.json,2
annual_results/India/Hindustan Unilever/2021/semantic.json,6
annual_results/India/Hindustan Unilever/2020/semantic.json,3
annual_results/India/Hindustan Unilever/2018/semantic.json,2
annual_results/India/HCL Technologies/2014/semantic.json,1
annual_results/India/HCL Technologies/2022/semantic.json,11
annual_results/India/HCL Technologies/2023/semantic.json,12
annual_results/India/HCL Technologies/2015/semantic.json,4
annual_results/India/HCL Technologies/2017/semantic.json,16
annual_results/India/HCL Technologies/2019/semantic.json,7
annual_results/India/HCL Technologies/2021/semantic.json,14
annual_results/India/HCL Technologies/2020/semantic.json,7
annual_results/India/HCL Technologies/2018/semantic.json,8
annual_results/India/HCL Technologies/2016/semantic.json,11
annual_results/India/Tata Consultancy Services/2014/semantic.json,2
annual_results/India/Tata Consultancy Services/2022/semantic.json,16
annual_results/India/Tata Consultancy Services/2023/semantic.json,15
annual_results/India/Tata Consultancy Services/2015/semantic.json,5
annual_results/India/Tata Consultancy Services/2017/semantic.json,10
annual_results/India/Tata Consultancy Services/2019/semantic.json,8
annual_results/India/Tata Consultancy Services/2021/semantic.json,16
annual_results/India/Tata Consultancy Services/2020/semantic.json,6
annual_results/India/Tata Consultancy Services/2018/semantic.json,10
annual_results/India/Tata Consultancy Services/2016/semantic.json,10
annual_results/India/Bajaj Finance/2022/semantic.json,2
annual_results/India/Bajaj Finance/2023/semantic.json,1
annual_results/India/Bajaj Finance/2020/semantic.json,3
