,Company,Year,Country,Revenue,Sector,Goals
0,Amazon,2014,USA,1761.0,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
1,Amazon,2023,USA,1761.0,Information Tech,"{'0': 10, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 4, '9': 17, '10': 0, '11': 3, '12': 1, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
2,Amazon,2015,USA,1761.0,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
3,Amazon,2017,USA,1761.0,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 4, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
4,Amazon,2019,USA,1761.0,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
5,Amazon,2018,USA,1761.0,Information Tech,"{'0': 3, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
6,Amazon,2016,USA,1761.0,Information Tech,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 3, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
7,APPLE,2023,USA,3371.0,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
8,Exxon Mobil,2019,USA,500.44,Energy,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
9,Meta Platforms (Facebook),2022,USA,1234.0,Information Tech,"{'0': 8, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 8, '17': 0}"
10,Meta Platforms (Facebook),2023,USA,1234.0,Information Tech,"{'0': 20, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 5, '9': 18, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 11, '17': 1}"
11,Meta Platforms (Facebook),2015,USA,1234.0,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
12,Meta Platforms (Facebook),2017,USA,1234.0,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
13,Meta Platforms (Facebook),2019,USA,1234.0,Information Tech,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 1}"
