,Company,Year,Country,Revenue,Sector
0,Amazon,2014,USA,1761.0,Information Technology
1,Amazon,2023,USA,1761.0,Information Technology
2,Amazon,2015,USA,1761.0,Information Technology
3,Amazon,2017,USA,1761.0,Information Technology
4,Amazon,2019,USA,1761.0,Information Technology
5,Amazon,2018,USA,1761.0,Information Technology
6,Amazon,2016,USA,1761.0,Information Technology
7,APPLE,2014,USA,3371.0,Information Technology
8,APPLE,2022,USA,3371.0,Information Technology
9,APPLE,2023,USA,3371.0,Information Technology
10,APPLE,2015,USA,3371.0,Information Technology
11,APPLE,2017,USA,3371.0,Information Technology
12,APPLE,2019,USA,3371.0,Information Technology
13,APPLE,2021,USA,3371.0,Information Technology
14,APPLE,2020,USA,3371.0,Information Technology
15,APPLE,2018,USA,3371.0,Information Technology
16,APPLE,2016,USA,3371.0,Information Technology
17,Exxon Mobil,2014,USA,500.44,Energy
18,Exxon Mobil,2022,USA,500.44,Energy
19,Exxon Mobil,2023,USA,500.44,Energy
20,Exxon Mobil,2015,USA,500.44,Energy
21,Exxon Mobil,2017,USA,500.44,Energy
22,Exxon Mobil,2019,USA,500.44,Energy
23,Exxon Mobil,2021,USA,500.44,Energy
24,Exxon Mobil,2020,USA,500.44,Energy
25,Exxon Mobil,2018,USA,500.44,Energy
26,Exxon Mobil,2016,USA,500.44,Energy
27,Meta Platforms (Facebook),2014,USA,1234.0,Information Technology
28,Meta Platforms (Facebook),2022,USA,1234.0,Information Technology
29,Meta Platforms (Facebook),2023,USA,1234.0,Information Technology
30,Meta Platforms (Facebook),2015,USA,1234.0,Information Technology
31,Meta Platforms (Facebook),2017,USA,1234.0,Information Technology
32,Meta Platforms (Facebook),2019,USA,1234.0,Information Technology
33,Meta Platforms (Facebook),2021,USA,1234.0,Information Technology
34,Meta Platforms (Facebook),2020,USA,1234.0,Information Technology
35,Meta Platforms (Facebook),2018,USA,1234.0,Information Technology
36,Meta Platforms (Facebook),2016,USA,1234.0,Information Technology
37,Berkshire Hathaway,2014,USA,922.79,Financials
38,Berkshire Hathaway,2022,USA,922.79,Financials
39,Berkshire Hathaway,2023,USA,922.79,Financials
40,Berkshire Hathaway,2015,USA,922.79,Financials
41,Berkshire Hathaway,2017,USA,922.79,Financials
42,Berkshire Hathaway,2019,USA,922.79,Financials
43,Berkshire Hathaway,2021,USA,922.79,Financials
44,Berkshire Hathaway,2020,USA,922.79,Financials
45,Berkshire Hathaway,2018,USA,922.79,Financials
46,Berkshire Hathaway,2016,USA,922.79,Financials
47,NVIDIA,2014,USA,2638.0,Information Technology
48,NVIDIA,2022,USA,2638.0,Information Technology
49,NVIDIA,2023,USA,2638.0,Information Technology
50,NVIDIA,2015,USA,2638.0,Information Technology
51,NVIDIA,2017,USA,2638.0,Information Technology
52,NVIDIA,2019,USA,2638.0,Information Technology
53,NVIDIA,2021,USA,2638.0,Information Technology
54,NVIDIA,2020,USA,2638.0,Information Technology
55,NVIDIA,2018,USA,2638.0,Information Technology
56,NVIDIA,2016,USA,2638.0,Information Technology
57,Walmart,2014,USA,616.05,Consumer Staples
58,Walmart,2022,USA,616.05,Consumer Staples
59,Walmart,2023,USA,616.05,Consumer Staples
60,Walmart,2015,USA,616.05,Consumer Staples
61,Walmart,2017,USA,616.05,Consumer Staples
62,Walmart,2019,USA,616.05,Consumer Staples
63,Walmart,2021,USA,616.05,Consumer Staples
64,Walmart,2020,USA,616.05,Consumer Staples
65,Walmart,2018,USA,616.05,Consumer Staples
66,Walmart,2016,USA,616.05,Consumer Staples
67,Johnson&Johnson,2014,USA,395.7,Health Care
68,Johnson&Johnson,2022,USA,395.7,Health Care
69,Johnson&Johnson,2023,USA,395.7,Health Care
70,Johnson&Johnson,2015,USA,395.7,Health Care
71,Johnson&Johnson,2017,USA,395.7,Health Care
72,Johnson&Johnson,2019,USA,395.7,Health Care
73,Johnson&Johnson,2021,USA,395.7,Health Care
74,Johnson&Johnson,2020,USA,395.7,Health Care
75,Johnson&Johnson,2018,USA,395.7,Health Care
76,Johnson&Johnson,2016,USA,395.7,Health Care
77,Procter&Gamble,2014,USA,412.58,Consumer Staples
78,Procter&Gamble,2022,USA,412.58,Consumer Staples
79,Procter&Gamble,2023,USA,412.58,Consumer Staples
80,Procter&Gamble,2015,USA,412.58,Consumer Staples
81,Procter&Gamble,2017,USA,412.58,Consumer Staples
82,Procter&Gamble,2019,USA,412.58,Consumer Staples
83,Procter&Gamble,2021,USA,412.58,Consumer Staples
84,Procter&Gamble,2020,USA,412.58,Consumer Staples
85,Procter&Gamble,2018,USA,412.58,Consumer Staples
86,Procter&Gamble,2016,USA,412.58,Consumer Staples
87,United Health,2014,USA,551.16,Health Care
88,United Health,2022,USA,551.16,Health Care
89,United Health,2023,USA,551.16,Health Care
90,United Health,2015,USA,551.16,Health Care
91,United Health,2017,USA,551.16,Health Care
92,United Health,2019,USA,551.16,Health Care
93,United Health,2021,USA,551.16,Health Care
94,United Health,2020,USA,551.16,Health Care
95,United Health,2018,USA,551.16,Health Care
96,United Health,2016,USA,551.16,Health Care
97,Morgan&Chase,2014,USA,604.48,Financials
98,Morgan&Chase,2022,USA,604.48,Financials
99,Morgan&Chase,2023,USA,604.48,Financials
100,Morgan&Chase,2015,USA,604.48,Financials
101,Morgan&Chase,2017,USA,604.48,Financials
102,Morgan&Chase,2019,USA,604.48,Financials
103,Morgan&Chase,2021,USA,604.48,Financials
104,Morgan&Chase,2020,USA,604.48,Financials
105,Morgan&Chase,2018,USA,604.48,Financials
106,Morgan&Chase,2016,USA,604.48,Financials
107,Mastercard,2014,USA,439.85,Financials
108,Mastercard,2022,USA,439.85,Financials
109,Mastercard,2023,USA,439.85,Financials
110,Mastercard,2015,USA,439.85,Financials
111,Mastercard,2017,USA,439.85,Financials
112,Mastercard,2019,USA,439.85,Financials
113,Mastercard,2021,USA,439.85,Financials
