,Firm,Year,Country,Sector,Revenue,Total Passages,Passages after Filter 1,Passages after Filter 2,Passages after Classification into SDGs,Result
0,Procter&Gamble,2022,USA,Consumer Staples,412.58,879,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
1,Procter&Gamble,2023,USA,Consumer Staples,412.58,849,1,1,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
2,Procter&Gamble,2020,USA,Consumer Staples,412.58,959,2,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 2, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
3,Procter&Gamble,2018,USA,Consumer Staples,412.58,910,2,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 2, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
4,APPLE,2023,USA,Information Technology,3371.0,702,1,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
5,Mastercard,2022,USA,Financials,439.85,1145,10,7,7,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 4, '9': 6, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
6,Mastercard,2023,USA,Financials,439.85,1168,29,14,14,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 3, '9': 10, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 11, '17': 0}"
7,Mastercard,2017,USA,Financials,439.85,1142,5,4,4,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
8,Mastercard,2019,USA,Financials,439.85,1002,6,4,4,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
9,Mastercard,2021,USA,Financials,439.85,1107,10,6,5,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 3, '9': 4, '10': 1, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 2, '17': 0}"
